X,Y
1485,16915.787
1486,17069.666
1487,17257.693
1488,17425.992
1489,17626.211
1490,17844.787
1491,18051.535
1492,18276.521
1493,18475.039
1494,18734.979
1495,18952.695
1496,19222.262
1497,19447.529
1498,19658.207
1499,19880.229
1500,20154.912
1501,20367.178
1502,20644.979
1503,20928.621
1504,21190.371
1505,21434.633
1506,21687.232
1507,21924.338
1508,22077.416
1509,22259.371
1510,22322.676
1511,22447.963
1512,22501.619
1513,22524.609
1514,22602.279
1515,22630.898
1516,22648.527
1517,22632.600
1518,22632.783
1519,22631.086
1520,22632.443
1521,22634.914
1522,22631.889
1523,22633.971
1524,22633.605
1525,22631.367
1526,22634.078
1527,22633.637
1528,22630.873
1529,22634.006
1530,22632.918
1531,22630.840
1532,22631.934
1533,22632.717
1534,22629.682
1535,22631.951
1536,22633.475
1537,22629.922
1538,22630.092
1539,22632.047
1540,22630.801
1541,22632.107
1542,22632.688
1543,22630.330
1544,22632.182
1545,22634.035
1546,22631.512
1547,22632.047
1548,22633.018
1549,22630.568
1550,22631.709
1551,22633.723
1552,22630.658
1553,22632.973
1554,22633.184
1555,22630.363
1556,22631.945
1557,22633.049
1558,22632.299
1559,22632.537
1560,22633.465
1561,22630.797
1562,22631.898
1563,22633.670
1564,22629.775
1565,22632.012
1566,22634.285
1567,22630.783
1568,22632.904
1569,22633.396
1570,22630.207
1571,22633.629
1572,22634.816
1573,22632.789
1574,22633.102
1575,22634.646
1576,22631.701
1577,22633.340
1578,22633.902
1579,22631.104
1580,22631.814
1581,22634.602
1582,22632.311
1583,22632.461
1584,22634.082
1585,22631.820
1586,22632.082
1587,22633.633
1588,22631.008
1589,22632.258
1590,22633.562
1591,22631.105
1592,22631.221
1593,22633.590
1594,22629.799
1595,22632.387
1596,22645.074
1597,22641.301
1598,22642.143
1599,22647.795
1600,22643.375
1601,22644.451
1602,22646.727
1603,22643.527
1604,22643.600
1605,22648.822
1606,22646.018
1607,22646.613
1608,22649.057
1609,22647.375
1610,22646.498
1611,22648.158
1612,22646.514
1613,22631.242
1614,22632.986
1615,22630.465
1616,22631.385
1617,22632.797
1618,22630.861
1619,22631.906
1620,22639.111
1621,22632.605
1622,22631.402
1623,22633.775
1624,22630.477
1625,22630.643
1626,22633.762
1627,22631.148
1628,22631.035
1629,22633.830
1630,22630.789
1631,22629.664
1632,22632.387
1633,22631.506
1634,22630.896
1635,22633.285
1636,22632.652
1637,22630.703
1638,22633.730
1639,22631.945
1640,22630.521
1641,22633.973
1642,22631.631
1643,22630.539
1644,22634.047
1645,22631.268
1646,22630.814
1647,22633.309
1648,22631.430
1649,22630.688
1650,22632.922
